Parent Cell	Interaction Type	Daughter Cell	Cell Common Name	Daughter Cell (No common names)	Parent Cell Generation	Node_size	Emb Term	Apoptoses	Emb Term Blast
ABalpaaaa	cc	ABalpaaaaa		ABalpaaaaa	9	125			
ABalpaaaa	cc	ABalpaaaap		ABalpaaaap	9	125			
ABalpaaap	cc	ABalpaaapa		ABalpaaapa	9	125			
ABalpaaap	cc	ABalpaaapp		ABalpaaapp	9	125			
ABalpaapa	cc	ABalpaapaa		ABalpaapaa	9	125			
ABalpaapa	cc	ABalpaapap		ABalpaapap	9	125			
ABalpaapp	cc	ABalpaappa		ABalpaappa	9	125			
ABalpaapp	cc	ABalpaappp		ABalpaappp	9	125			
ABalpapaa	cc	ABalpapaaa		ABalpapaaa	9	125			
ABalpapaa	cc	ABalpapaap		ABalpapaap	9	125			
ABalpapap	cc	ABalpapapa		ABalpapapa	9	125			
ABalpapap	cc	ABalpapapp		ABalpapapp	9	125			
ABalpappa	cc	ABalpappaa		ABalpappaa	9	125			
ABalpappa	cc	ABalpappap		ABalpappap	9	125			
ABalpappp	cc	ABalpapppa		ABalpapppa	9	125			
ABalpappp	cc	ABalpapppp		ABalpapppp	9	125			
ABalppaaa	cc	ABalppaaaa		ABalppaaaa	9	125	T	A	
ABalppaaa	cc	ABalppaaap		ABalppaaap	9	125			
ABalppaap	cc	ABalppaapa		ABalppaapa	9	125	T	A	
ABalppaap	cc	ABalppaapp		ABalppaapp	9	125			
ABalppapa	cc	ABalppapaa		ABalppapaa	9	125			
ABalppapa	cc	ABalppapap		ABalppapap	9	125			
ABalppapp	cc	ABalppappa		ABalppappa	9	125			
ABalppapp	cc	ABalppappp		ABalppappp	9	125			
ABalpppaa	cc	ABalpppaaa		ABalpppaaa	9	125			
ABalpppaa	cc	ABalpppaap		ABalpppaap	9	125			
ABalpppap	cc	ABalpppapa		ABalpppapa	9	125			
ABalpppap	cc	ABalpppapp		ABalpppapp	9	125			
ABalppppa	cc	ABalppppaa		ABalppppaa	9	125			
ABalppppa	cc	ABalppppap		ABalppppap	9	125			
ABalppppp	cc	ABalpppppa		ABalpppppa	9	125			
ABalppppp	cc	ABalpppppp		ABalpppppp	9	125			
ABaraaaaa	cc	ABaraaaaaa		ABaraaaaaa	9	125			
ABaraaaaa	cc	ABaraaaaap		ABaraaaaap	9	125			
ABaraaaap	cc	ABaraaaapa		ABaraaaapa	9	125			
ABaraaaap	cc	ABaraaaapp		ABaraaaapp	9	125	T	A	
ABaraaapa	cc	ABaraaapaa		ABaraaapaa	9	125			
ABaraaapa	cc	ABaraaapap		ABaraaapap	9	125			
ABaraaapp	cc	ABaraaappa		ABaraaappa	9	125			
ABaraaapp	cc	ABaraaappp		ABaraaappp	9	125			
ABaraapaa	cc	ABaraapaaa		ABaraapaaa	9	125			
ABaraapaa	cc	ABaraapaap		ABaraapaap	9	125			
ABaraapap	cc	ABaraapapa		ABaraapapa	9	125			
ABaraapap	cc	ABaraapapp		ABaraapapp	9	125			
ABaraappa	cc	ABaraappaa		ABaraappaa	9	125			
ABaraappa	cc	ABaraappap		ABaraappap	9	125			
ABaraappp	cc	ABaraapppa		ABaraapppa	9	125			
ABaraappp	cc	ABaraapppp		ABaraapppp	9	125			
ABarapaaa	cc	ABarapaaaa		ABarapaaaa	9	125			
ABarapaaa	cc	ABarapaaap		ABarapaaap	9	125			
ABarapaap	cc	ABarapaapa		ABarapaapa	9	125			
ABarapaap	cc	ABarapaapp		ABarapaapp	9	125			
ABarapapa	cc	ABarapapaa		ABarapapaa	9	125			
ABarapapa	cc	ABarapapap		ABarapapap	9	125			
ABarapapp	cc	ABarapappa		ABarapappa	9	125			
ABarapapp	cc	ABarapappp		ABarapappp	9	125			
ABarappaa	cc	ABarappaaa		ABarappaaa	9	125			
ABarappaa	cc	ABarappaap		ABarappaap	9	125			
ABarappap	cc	ABarappapa		ABarappapa	9	125			
ABarappap	cc	ABarappapp		ABarappapp	9	125			
ABarapppa	cc	ABarapppaa		ABarapppaa	9	125			
ABarapppa	cc	ABarapppap		ABarapppap	9	125			
ABarapppp	cc	ABarappppa		ABarappppa	9	125			
ABarapppp	cc	ABarappppp		ABarappppp	9	125			
ABarpaaaa	cc	ABarpaaaaa		ABarpaaaaa	9	125			
ABarpaaaa	cc	ABarpaaaap		ABarpaaaap	9	125			
ABarpaaap	cc	ABarpaaapa		ABarpaaapa	9	125			
ABarpaaap	cc	ABarpaaapp		ABarpaaapp	9	125	T	A	
ABarpaapa	cc	ABarpaapaa (hyp 6)	hyp 6	ABarpaapaa	9	125	T		
ABarpaapa	cc	ABarpaapap (hyp 7)	hyp 7	ABarpaapap	9	125	T		
ABarpaapp	cc	ABarpaappa (hyp 7)	hyp 7	ABarpaappa	9	125	T		
ABarpaapp	cc	ABarpaappp (hyp 7)	hyp 7	ABarpaappp	9	125	T		
ABarpapaa	cc	ABarpapaaa		ABarpapaaa	9	125			
ABarpapaa	cc	ABarpapaap		ABarpapaap	9	125			
ABarpapap	cc	ABarpapapa (hyp 4)	hyp 4	ABarpapapa	9	125	T		
ABarpapap	cc	ABarpapapp (hyp 6)	hyp 6	ABarpapapp	9	125	T		
ABarpappa	cc	ABarpappaa (XXXR)	XXXR	ABarpappaa	9	125	T		
ABarpappa	cc	ABarpappap (hyp 5)	hyp 5	ABarpappap	9	125	T		
ABarpappp	cc	ABarpapppa (H0R)	H0R	Abarpapppa	9	125	T		B
ABarpappp	cc	ABarpapppp (H1R)	H1R	Abarpapppp	9	125	T		B
ABarppaaa	cc	ABarppaaaa (ADEshL)	ADEshL	ABarppaaaa	9	125	T		
ABarppaaa	cc	ABarppaaap (H2L)	H2L	Abarppaaap	9	125	T		B
ABarppaap	cc	ABarppaapa (hyp 7)	hyp 7	ABarppaapa	9	125	T		
ABarppaap	cc	ABarppaapp		ABarppaapp	9	125			
ABarppapa	cc	ABarppapaa (V1L)	V1L	Abarppapaa	9	125	T		B
ABarppapa	cc	ABarppapap (V2L)	V2L	Abarppapap	9	125	T		B
ABarppapp	cc	ABarppappa (V4L)	V4L	Abarppappa	9	125	T		B
ABarppapp	cc	ABarppappp (V6L)	V6L	Abarppappp	9	125	T		B
ABarpppaa	cc	ABarpppaaa (ADEshR)	ADEshR	ABarpppaaa	9	125	T		
ABarpppaa	cc	ABarpppaap (H2R)	H2R	Abarpppaap	9	125	T		B
ABarpppap	cc	ABarpppapa (hyp 7)	hyp 7	ABarpppapa	9	125	T		
ABarpppap	cc	ABarpppapp		ABarpppapp	9	125			
ABarppppa	cc	ABarppppaa (V1R)	V1R	Abarppppaa	9	125	T		B
ABarppppa	cc	ABarppppap (V2R)	V2R	ABarppppap	9	125	T		B
ABarppppp	cc	ABarpppppa (V4R)	V4R	ABarpppppa	9	125	T		B
ABarppppp	cc	ABarpppppp (V6R)	V6R	ABarpppppp	9	125	T		B
ABplaaaaa	cc	ABplaaaaaa		ABplaaaaaa	9	125			
ABplaaaaa	cc	ABplaaaaap		ABplaaaaap	9	125			
ABplaaaap	cc	ABplaaaapa (hyp 6)	hyp 6	ABplaaaapa	9	125	T		
ABplaaaap	cc	ABplaaaapp (hyp 6)	hyp 6	ABplaaaapp	9	125	T		
ABplaaapa	cc	ABplaaapaa (XXXL)	XXXL	ABplaaapaa	9	125	T		
ABplaaapa	cc	ABplaaapap (hyp 5)	hyp 5	ABplaaapap	9	125	T		
ABplaaapp	cc	ABplaaappa (H0L)	H0L	ABplaaappa	9	125	T		B
ABplaaapp	cc	ABplaaappp (H1L)	H1L	ABplaaappp	9	125	T		B
ABplaapaa	cc	ABplaapaaa		ABplaapaaa	9	125			
ABplaapaa	cc	ABplaapaap		ABplaapaap	9	125			
ABplaapap	cc	ABplaapapa		ABplaapapa	9	125			
ABplaapap	cc	ABplaapapp		ABplaapapp	9	125			
ABplaappa	cc	ABplaappaa (hyp 4)	hyp 4	ABplaappaa	9	125	T		
ABplaappa	cc	ABplaappap (hyp 6)	hyp 6	ABplaappap	9	125	T		
ABplaappp	cc	ABplaapppa (hyp 7)	hyp 7	ABplaapppa	9	125	T		
ABplaappp	cc	ABplaapppp (hyp 7)	hyp 7	ABplaapppp	9	125	T		
ABplapaaa	cc	ABplapaaaa		ABplapaaaa	9	125			
ABplapaaa	cc	ABplapaaap		ABplapaaap	9	125			
ABplapaap	cc	ABplapaapa (G2)	G2	ABplapaapa	9	125	T		B
ABplapaap	cc	ABplapaapp (P1/2 L)	P1/2 L	ABplapaapp	9	125	T		B
ABplapapa	cc	ABplapapaa		ABplapapaa	9	125			
ABplapapa	cc	ABplapapap (P9/10 L)	P9/10 L	ABplapapap	9	125	T		B
ABplapapp	cc	ABplapappa (P11/12 L)	P11/12 L	ABplapappa	9	125	T		B
ABplapapp	cc	ABplapappp		ABplapappp	9	125			
ABplappaa	cc	ABplappaaa (P3/4 L)	P3/4 L	ABplappaaa	9	125	T		B
ABplappaa	cc	ABplappaap (P5/6 L)	P5/6 L	ABplappaap	9	125	T		B
ABplappap	cc	ABplappapa (V3L)	V3L	ABplappapa	9	125	T		B
ABplappap	cc	ABplappapp (P7/8 L)	P7/8 L	ABplappapp	9	125	T		B
ABplapppa	cc	ABplapppaa		ABplapppaa	9	125			
ABplapppa	cc	ABplapppap		ABplapppap	9	125			
ABplapppp	cc	ABplappppa (hyp 7)	hyp 7	ABplappppa	9	125	T		
ABplapppp	cc	ABplappppp (TL)	TL	ABplappppp	9	125	T		B
ABplpaaaa	cc	ABplpaaaaa		ABplpaaaaa	9	125			
ABplpaaaa	cc	ABplpaaaap		ABplpaaaap	9	125			
ABplpaaap	cc	ABplpaaapa		ABplpaaapa	9	125			
ABplpaaap	cc	ABplpaaapp		ABplpaaapp	9	125			
ABplpaapa	cc	ABplpaapaa		ABplpaapaa	9	125			
ABplpaapa	cc	ABplpaapap		ABplpaapap	9	125			
ABplpaapp	cc	ABplpaappa		ABplpaappa	9	125			
ABplpaapp	cc	ABplpaappp		ABplpaappp	9	125			
ABplpapaa	cc	ABplpapaaa		ABplpapaaa	9	125			
ABplpapaa	cc	ABplpapaap		ABplpapaap	9	125			
ABplpapap	cc	ABplpapapa		ABplpapapa	9	125			
ABplpapap	cc	ABplpapapp		ABplpapapp	9	125			
ABplpappa	cc	ABplpappaa		ABplpappaa	9	125			
ABplpappa	cc	ABplpappap		ABplpappap	9	125	T	A	
ABplpappp	cc	ABplpapppa		ABplpapppa	9	125			
ABplpappp	cc	ABplpapppp		ABplpapppp	9	125			
ABplppaaa	cc	ABplppaaaa		ABplppaaaa	9	125			
ABplppaaa	cc	ABplppaaap		ABplppaaap	9	125	T	A	
ABplppaap	cc	ABplppaapa		ABplppaapa	9	125			
ABplppaap	cc	ABplppaapp		ABplppaapp	9	125			
ABplppapa	cc	ABplppapaa		ABplppapaa	9	125			
ABplppapa	cc	ABplppapap		ABplppapap	9	125			
ABplppapp	cc	ABplppappa		ABplppappa	9	125			
ABplppapp	cc	ABplppappp		ABplppappp	9	125			
ABplpppaa	cc	ABplpppaaa		ABplpppaaa	9	125			
ABplpppaa	cc	ABplpppaap		ABplpppaap	9	125			
ABplpppap	cc	ABplpppapa		ABplpppapa	9	125			
ABplpppap	cc	ABplpppapp		ABplpppapp	9	125	T	A	
ABplppppa	cc	ABplppppaa		ABplppppaa	9	125			
ABplppppa	cc	ABplppppap		ABplppppap	9	125			
ABplppppp	cc	ABplpppppa		ABplpppppa	9	125			
ABplppppp	cc	ABplpppppp		ABplpppppp	9	125			
ABpraaaaa	cc	ABpraaaaaa		ABpraaaaaa	9	125			
ABpraaaaa	cc	ABpraaaaap		ABpraaaaap	9	125			
ABpraaaap	cc	ABpraaaapa		ABpraaaapa	9	125			
ABpraaaap	cc	ABpraaaapp		ABpraaaapp	9	125			
ABpraaapa	cc	ABpraaapaa		ABpraaapaa	9	125			
ABpraaapa	cc	ABpraaapap		ABpraaapap	9	125			
ABpraaapp	cc	ABpraaappa		ABpraaappa	9	125			
ABpraaapp	cc	ABpraaappp		ABpraaappp	9	125			
ABpraapaa	cc	ABpraapaaa		ABpraapaaa	9	125			
ABpraapaa	cc	ABpraapaap		ABpraapaap	9	125			
ABpraapap	cc	ABpraapapa		ABpraapapa	9	125			
ABpraapap	cc	ABpraapapp		ABpraapapp	9	125			
ABpraappa	cc	ABpraappaa (hyp 4)	hyp 4	ABpraappaa	9	125	T		
ABpraappa	cc	ABpraappap (hyp 6)	hyp 6	ABpraappap	9	125	T		
ABpraappp	cc	ABpraapppa (hyp 7)	hyp 7	ABpraapppa	9	125	T		
ABpraappp	cc	ABpraapppp (hyp 7)	hyp 7	ABpraapppp	9	125	T		
ABprapaaa	cc	ABprapaaaa		ABprapaaaa	9	125			
ABprapaaa	cc	ABprapaaap		ABprapaaap	9	125			
ABprapaap	cc	ABprapaapa (W)	W	ABprapaapa	9	125	T		B
ABprapaap	cc	ABprapaapp (P1/2 R)	P1/2 R	ABprapaapp	9	125	T		B
ABprapapa	cc	ABprapapaa		ABprapapaa	9	125			
ABprapapa	cc	ABprapapap (P9/10 R)	P9/10 R	ABprapapap	9	125	T		B
ABprapapp	cc	ABprapappa (P11/12 R)	P11/12 R	ABprapappa	9	125	T		B
ABprapapp	cc	ABprapappp		ABprapappp	9	125			
ABprappaa	cc	ABprappaaa (P3/4 R)	P3/4 R	ABprappaaa	9	125	T		B
ABprappaa	cc	ABprappaap (P5/6 R)	P5/6 R	ABprappaap	9	125	T		B
ABprappap	cc	ABprappapa (V3R)	V3R	ABprappapa	9	125	T		B
ABprappap	cc	ABprappapp (P7/8 R)	P7/8 R	ABprappapp	9	125	T		B
ABprapppa	cc	ABprapppaa		ABprapppaa	9	125			
ABprapppa	cc	ABprapppap		ABprapppap	9	125			
ABprapppp	cc	ABprappppa (hyp 7)	hyp 7	ABprappppa	9	125	T		
ABprapppp	cc	ABprappppp (TR)	TR	ABprappppp	9	125	T		B
ABprpaaaa	cc	ABprpaaaaa		ABprpaaaaa	9	125			
ABprpaaaa	cc	ABprpaaaap		ABprpaaaap	9	125			
ABprpaaap	cc	ABprpaaapa		ABprpaaapa	9	125			
ABprpaaap	cc	ABprpaaapp		ABprpaaapp	9	125			
ABprpaapa	cc	ABprpaapaa		ABprpaapaa	9	125			
ABprpaapa	cc	ABprpaapap		ABprpaapap	9	125			
ABprpaapp	cc	ABprpaappa		ABprpaappa	9	125			
ABprpaapp	cc	ABprpaappp		ABprpaappp	9	125			
ABprpapaa	cc	ABprpapaaa		ABprpapaaa	9	125			
ABprpapaa	cc	ABprpapaap		ABprpapaap	9	125			
ABprpapap	cc	ABprpapapa		ABprpapapa	9	125			
ABprpapap	cc	ABprpapapp		ABprpapapp	9	125			
ABprpappa	cc	ABprpappaa		ABprpappaa	9	125			
ABprpappa	cc	ABprpappap		ABprpappap	9	125			
ABprpappp	cc	ABprpapppa		ABprpapppa	9	125			
ABprpappp	cc	ABprpapppp		ABprpapppp	9	125			
ABprppaaa	cc	ABprppaaaa		ABprppaaaa	9	125			
ABprppaaa	cc	ABprppaaap		ABprppaaap	9	125	T	A	
ABprppaap	cc	ABprppaapa		ABprppaapa	9	125			
ABprppaap	cc	ABprppaapp		ABprppaapp	9	125			
ABprppapa	cc	ABprppapaa		ABprppapaa	9	125			
ABprppapa	cc	ABprppapap		ABprppapap	9	125			
ABprppapp	cc	ABprppappa		ABprppappa	9	125			
ABprppapp	cc	ABprppappp		ABprppappp	9	125			
ABprpppaa	cc	ABprpppaaa		ABprpppaaa	9	125			
ABprpppaa	cc	ABprpppaap		ABprpppaap	9	125			
ABprpppap	cc	ABprpppapa		ABprpppapa	9	125			
ABprpppap	cc	ABprpppapp		ABprpppapp	9	125	T	A	
ABprppppa	cc	ABprppppaa		ABprppppaa	9	125			
ABprppppa	cc	ABprppppap		ABprppppap	9	125			
ABprppppp	cc	ABprpppppa		ABprpppppa	9	125			
ABprppppp	cc	ABprpppppp		ABprpppppp	9	125			
Capaaa	cc	Capaaaa (body muscle)	body muscle	Capaaaa	9	125	T		
Capaaa	cc	Capaaap (body muscle)	body muscle	Capaaap	9	125	T		
Capaap	cc	Capaapa (body muscle)	body muscle	Capaapa	9	125	T		
Capaap	cc	Capaapp (body muscle)	body muscle	Capaapp	9	125	T		
Capapa	cc	Capapaa (body muscle)	body muscle	Capapaa	9	125	T		
Capapa	cc	Capapap (body muscle)	body muscle	Capapap	9	125	T		
Capapp	cc	Capappa (body muscle)	body muscle	Capappa	9	125	T		
Capapp	cc	Capappp (body muscle)	body muscle	Capappp	9	125	T		
Cappaa	cc	Cappaaa (body muscle)	body muscle	Cappaaa	9	125	T		
Cappaa	cc	Cappaap (body muscle)	body muscle	Cappaap	9	125	T		
Cappap	cc	Cappapa (body muscle)	body muscle	Cappapa	9	125	T		
Cappap	cc	Cappapp (body muscle)	body muscle	Cappapp	9	125	T		
Capppa	cc	Capppaa (body muscle)	body muscle	Capppaa	9	125	T		
Capppa	cc	Capppap (body muscle)	body muscle	Capppap	9	125	T		
Capppp	cc	Cappppd (body muscle)	body muscle	Cappppd	9	125	T		
Capppp	cc	Cappppv (body muscle)	body muscle	Cappppv	9	125	T		
Cppaaa	cc	Cppaaaa (body muscle)	body muscle	Cppaaaa	9	125	T		
Cppaaa	cc	Cppaaap (body muscle)	body muscle	Cppaaap	9	125	T		
Cppaap	cc	Cppaapa (body muscle)	body muscle	Cppaapa	9	125	T		
Cppaap	cc	Cppaapp (body muscle)	body muscle	Cppaapp	9	125	T		
Cppapa	cc	Cppapaa (body muscle)	body muscle	Cppapaa	9	125	T		
Cppapa	cc	Cppapap (body muscle)	body muscle	Cppapap	9	125	T		
Cppapp	cc	Cppappa (body muscle)	body muscle	Cppappa	9	125	T		
Cppapp	cc	Cppappp (body muscle)	body muscle	Cppappp	9	125	T		
Cpppaa	cc	Cpppaaa (body muscle)	body muscle	Cpppaaa	9	125	T		
Cpppaa	cc	Cpppaap (body muscle)	body muscle	Cpppaap	9	125	T		
Cpppap	cc	Cpppapa (body muscle)	body muscle	Cpppapa	9	125	T		
Cpppap	cc	Cpppapp (body muscle)	body muscle	Cpppapp	9	125	T		
Cppppa	cc	Cppppaa (body muscle)	body muscle	Cppppaa	9	125	T		
Cppppa	cc	Cppppap (body muscle)	body muscle	Cppppap	9	125	T		
Cppppp	cc	Cpppppd (body muscle)	body muscle	Cpppppd	9	125	T		
Cppppp	cc	Cpppppv (body muscle)	body muscle	Cpppppv	9	125	T		
Dappa	cc	Dappaa (body muscle)	body muscle	Dappaa	9	125	T		
Dappa	cc	Dappap (body muscle)	body muscle	Dappap	9	125	T		
Dappp	cc	Dapppa (body muscle)	body muscle	Dapppa	9	125	T		
Dappp	cc	Dapppp (body muscle)	body muscle	Dapppp	9	125	T		
Dpppa	cc	Dpppaa (body muscle)	body muscle	Dpppaa	9	125	T		
Dpppa	cc	Dpppap (body muscle)	body muscle	Dpppap	9	125	T		
Dpppp	cc	Dppppa (body muscle)	body muscle	Dppppa	9	125	T		
Dpppp	cc	Dppppp (body muscle)	body muscle	Dppppp	9	125	T		
MSaaaaa	cc	MSaaaaaa		MSaaaaaa	9	125			
MSaaaaa	cc	MSaaaaap		MSaaaaap	9	125			
MSaaaap	cc	MSaaaapa		MSaaaapa	9	125			
MSaaaap	cc	MSaaaapp		MSaaaapp	9	125			
MSaaapa	cc	MSaaapaa		MSaaapaa	9	125			
MSaaapa	cc	MSaaapap		MSaaapap	9	125			
MSaaapp	cc	MSaaappa		MSaaappa	9	125	T	A	
MSaaapp	cc	MSaaappp (vpi3D)	vpi3D	MSaaappp	9	125	T		
MSaapaa	cc	MSaapaaa		MSaapaaa	9	125			
MSaapaa	cc	MSaapaap		MSaapaap	9	125			
MSaapap	cc	MSaapapa		MSaapapa	9	125			
MSaapap	cc	MSaapapp		MSaapapp	9	125			
MSaappa	cc	MSaappaa (vpi2V)	vpi2V	MSaappaa	9	125	T		
MSaappa	cc	MSaappap (vpi3V)	vpi3V	MSaappap	9	125	T		
MSaappp	cc	MSaapppa		MSaapppa	9	125			
MSaappp	cc	MSaapppp		MSaapppp	9	125			
MSapaaa	cc	MSapaaaa		MSapaaaa	9	125			
MSapaaa	cc	MSapaaap (body muscle)	body muscle	MSapaaap	9	125	T		
MSapaap	cc	MSapaapa		MSapaapa	9	125	T	A	
MSapaap	cc	MSapaapp (M)	M	MSapaapp	9	125	T		B
MSapapa	cc	MSapapaa		MSapapaa	9	125			
MSapapa	cc	MSapapap (body muscle)	body muscle	MSapapap	9	125	T		
MSapapp	cc	MSapappa (body muscle)	body muscle	MSapappa	9	125	T		
MSapapp	cc	MSapappp (body muscle)	body muscle	MSapappp	9	125	T		
MSappaa	cc	MSappaaa (head mesodermal cell)	head mesodermal cell	MSappaaa	9	125	T		
MSappaa	cc	MSappaap (Z4)	Z4	MSappaap	9	125	T		B
MSappap	cc	MSappapa		MSappapa	9	125	T	A	
MSappap	cc	MSappapp (body muscle)	body muscle	MSappapp	9	125	T		
MSapppa	cc	MSapppaa (body muscle)	body muscle	MSapppaa	9	125	T		
MSapppa	cc	MSapppap (body muscle)	body muscle	MSapppap	9	125	T		
MSapppp	cc	MSappppa (body muscle)	body muscle	MSappppa	9	125	T		
MSapppp	cc	MSappppp (body muscle)	body muscle	MSappppp	9	125	T		
MSpaaaa	cc	MSpaaaaa		MSpaaaaa	9	125			
MSpaaaa	cc	MSpaaaap		MSpaaaap	9	125			
MSpaaap	cc	MSpaaapa		MSpaaapa	9	125			
MSpaaap	cc	MSpaaapp		MSpaaapp	9	125			
MSpaapa	cc	MSpaapaa		MSpaapaa	9	125			
MSpaapa	cc	MSpaapap		MSpaapap	9	125			
MSpapaa	cc	MSpapaaa		MSpapaaa	9	125			
MSpapaa	cc	MSpapaap		MSpapaap	9	125			
MSpapap	cc	MSpapapa		MSpapapa	9	125			
MSpapap	cc	MSpapapp		MSpapapp	9	125			
MSpappa	cc	MSpappaa (body muscle)	body muscle	MSpappaa	9	125	T		
MSpappa	cc	MSpappap (body muscle)	body muscle	MSpappap	9	125	T		
MSpappp	cc	MSpapppa		MSpapppa	9	125			
MSpappp	cc	MSpapppp		MSpapppp	9	125			
MSppaaa	cc	MSppaaaa		MSppaaaa	9	125			
MSppaaa	cc	MSppaaap (body muscle)	body muscle	MSppaaap	9	125	T		
MSppaap	cc	MSppaapa		MSppaapa	9	125	T	A	
MSppaap	cc	MSppaapp (intestinal muscle R)	intestinal muscle R	MSppaapp	9	125	T		
MSppapa	cc	MSppapaa		MSppapaa	9	125			
MSppapa	cc	MSppapap (body muscle)	body muscle	MSppapap	9	125	T		
MSppapp	cc	MSppappa (body muscle)	body muscle	MSppappa	9	125	T		
MSppapp	cc	MSppappp (body muscle)	body muscle	MSppappp	9	125	T		
MSpppaa	cc	MSpppaaa		MSpppaaa	9	125	T	A	
MSpppaa	cc	MSpppaap (Z1)	Z1	MSpppaap	9	125	T		B
MSpppap	cc	MSpppapa		MSpppapa	9	125	T	A	
MSpppap	cc	MSpppapp (body muscle)	body muscle	MSpppapp	9	125	T		
MSppppa	cc	MSppppaa (body muscle)	body muscle	MSppppaa	9	125	T		
MSppppa	cc	MSppppap (body muscle)	body muscle	MSppppap	9	125	T		
MSppppp	cc	MSpppppa (body muscle)	body muscle	MSpppppa	9	125	T		
MSppppp	cc	MSpppppp (body muscle)	body muscle	MSpppppp	9	125	T		
ABalaaaala	cc	ABalaaaalal (AINL)	AINL	ABalaaaalal	10	99	T		
ABalaaaala	cc	ABalaaaalar		ABalaaaalar	10	99	T	A	
ABalaaaalp	cc	ABalaaaalpa		ABalaaaalpa	10	99	T	A	
ABalaaaalp	cc	ABalaaaalpp (ILshL)	ILshL	ABalaaaalpp	10	99	T		
ABalaaaarl	cc	ABalaaaarla		ABalaaaarla	10	99	T	A	
ABalaaaarl	cc	ABalaaaarlp (RMEL)	RMEL	ABalaaaarlp	10	99	T		
ABalaaaarr	cc	ABalaaaarra		ABalaaaarra	10	99	T	A	
ABalaaaarr	cc	ABalaaaarrp (RMER)	RMER	ABalaaaarrp	10	99	T		
ABalaaapal	cc	ABalaaapall (ILsoL)	ILsoL	ABalaaapall	10	99	T		
ABalaaapal	cc	ABalaaapalr (AVDL)	AVDL	ABalaaapalr	10	99	T		
ABalaaapar	cc	ABalaaaparl		ABalaaaparl	10	99	T	A	
ABalaaapar	cc	ABalaaaparr (ILshDL)	ILshDL	ABalaaaparr	10	99	T		
ABalaaappl	cc	ABalaaappll (ILshDR)	ILshDR	ABalaaappll	10	99	T		
ABalaaappl	cc	ABalaaapplr		ABalaaapplr	10	99	T	A	
ABalaaappr	cc	ABalaaapprl (AVDR)	AVDR	ABalaaapprl	10	99	T		
ABalaaappr	cc	ABalaaapprr (ILsoR)	ILsoR	ABalaaapprr	10	99	T		
ABalaapaaa	cc	ABalaapaaal		ABalaapaaal	10	99	T	A	
ABalaapaaa	cc	ABalaapaaar (AINR)	AINR	ABalaapaaar	10	99	T		
ABalaapaap	cc	ABalaapaapa		ABalaapaapa	10	99	T	A	
ABalaapaap	cc	ABalaapaapp (ILshR)	ILshR	ABalaapaapp	10	99	T		
ABalaapapp	cc	ABalaapappa		ABalaapappa	10	99	T	A	
ABalaapapp	cc	ABalaapappp (CEPsoVR)	CEPsoVR	ABalaapappp	10	99	T		
ABalaappap	cc	ABalaappapa (AVAR)	AVAR	ABalaappapa	10	99	T		
ABalaappap	cc	ABalaappapp (OLQsoVR)	OLQsoVR	ABalaappapp	10	99	T		
ABalaapppa	cc	ABalaapppaa (RIAR)	RIAR	ABalaapppaa	10	99	T		
ABalaapppa	cc	ABalaapppap		ABalaapppap	10	99	T	A	
ABalaapppp	cc	ABalaappppa		ABalaappppa	10	99			
ABalaapppp	cc	ABalaappppp (IL2R)	IL2R	ABalaappppp	10	99	T		
ABalapaaaa	cc	ABalapaaaaa (AVHL)	AVHL	ABalapaaaaa	10	99	T		
ABalapaaaa	cc	ABalapaaaap		ABalapaaaap	10	99	T	A	
ABalapaaap	cc	ABalapaaapa (CANL)	CANL	ABalapaaapa	10	99	T		
ABalapaaap	cc	ABalapaaapp (OLLsoL)	OLLsoL	ABalapaaapp	10	99	T		
ABalapaapa	cc	ABalapaapaa (RIAL)	RIAL	ABalapaapaa	10	99	T		
ABalapaapa	cc	ABalapaapap		ABalapaapap	10	99	T	A	
ABalapaapp	cc	ABalapaappa		ABalapaappa	10	99			
ABalapaapp	cc	ABalapaappp (IL2L)	IL2L	ABalapaappp	10	99	T		
ABalapapap	cc	ABalapapapa		ABalapapapa	10	99			
ABalapapap	cc	ABalapapapp (URYDL)	URYDL	ABalapapapp	10	99	T		
ABalapappa	cc	ABalapappaa		ABalapappaa	10	99			
ABalapappa	cc	ABalapappap (IL2DL)	IL2DL	ABalapappap	10	99	T		
ABalapappp	cc	ABalapapppa (AVJL)	AVJL	ABalapapppa	10	99	T		
ABalapappp	cc	ABalapapppp (CEPsoDL)	CEPsoDL	ABalapapppp	10	99	T		
ABalappaap	cc	ABalappaapa (RID)	RID	ABalappaapa	10	99	T		
ABalappaap	cc	ABalappaapp		ABalappaapp	10	99	T	A	
ABalappapa	cc	ABalappapaa (AVHR)	AVHR	ABalappapaa	10	99	T		
ABalappapa	cc	ABalappapap		ABalappapap	10	99	T	A	
ABalappapp	cc	ABalappappa (CANR)	CANR	ABalappappa	10	99	T		
ABalappapp	cc	ABalappappp (OLLsoR)	OLLsoR	ABalappappp	10	99	T		
ABalapppaa	cc	ABalapppaaa (ALA)	ALA	ABalapppaaa	10	99	T		
ABalapppaa	cc	ABalapppaap (RMED)	RMED	ABalapppaap	10	99	T		
ABalapppap	cc	ABalapppapa		ABalapppapa	10	99			
ABalapppap	cc	ABalapppapp (URYDR)	URYDR	ABalapppapp	10	99	T		
ABalappppa	cc	ABalappppaa		ABalappppaa	10	99			
